"activity_goals_outcomes","activity_name","activity_type","attended_people","budget","company_name","description","end_date","feedback_mechanism","frequency_of_recurrence","id","is_recurring","key_partners_sponsors","location","number_of_participants_expected","resources_needed_provided","rsvpd_list","start_date","success_metrics","target_audience"
"They half everyone teacher system organization city training whole yard people.","Secured bifurcated system engine","Workshop","MP-2024-EW6W, CG-2024-HXRR, KC-2024-7Z9R, MW-2024-JLPP, JB-2024-5NLJ, DN-2024-2H3R, SH-2024-99BT, AG-2024-B9VC, DP-2024-U098","$84061","Garcia, Daugherty and Ewing","Marriage rather attack interesting how green some audience without thousand choice raise could edge heart commercial change son into friend.","2024-12-27T17:23:28.737770","","Weekly","ACT-1734434608-R06C3U","True","","Virtual (Online)","168","","JB-2024-5NLJ, AM-2024-4EG6, MP-2024-EW6W, DP-2024-U098, SM-2024-FEIS, MW-2024-JLPP, JZ-2024-77IR, BH-2024-E5Z8, DC-2024-1RDJ, EB-2024-WR89, SH-2024-99BT, KM-2024-OGXL, LM-2024-1EHO, SB-2024-RY3O, TG-2024-EP84, AG-2024-B9VC, DN-2024-2H3R, KC-2024-7Z9R, CG-2024-HXRR, DM-2024-C2V8","2024-12-26T17:23:28.737770","Number of participants, Engagement levels","Volunteers"
"Exist own two size true within as.","Reverse-engineered 24/7 alliance","Employee Engagement","MD-2024-HSSU","$63858","Foster, Avila and Brown","Magazine us we see matter paper audience style rather deal prepare consider include strategy hour.","2024-12-20T17:23:28.738609","Feedback Form","Ad Hoc","ACT-1734434608-M9U3U0","True","Bailey, Arellano and Hoffman, Jenkins, Cardenas and Smith","31555 Gibbs Neck Apt. 794, Bellstad, CA 87810","448","","AH-2024-XF5O, CM-2024-IAE2, VM-2024-1TQ3, AS-2024-DCMT, MD-2024-HSSU, MM-2024-0DDH","2024-12-18T17:23:28.738609","Number of participants, Engagement levels","Students"
"Today choose water rule probably door bad dark information want.","Optimized intermediate encryption","Social Responsibility","CH-2024-1BJ6","","Miller-Jackson","Film wear amount beyond officer east major store later foreign year air risk foreign everybody note.","2024-12-29T17:23:28.740032","Feedback Form","Daily","ACT-1734434608-BBMEWW","True","","65062 Daniel Islands, Lake Patriciamouth, GU 82540","267","","AS-2024-JU7F, CH-2024-1BJ6, DC-2024-GM3Q, CS-2024-2VSL, SM-2024-2SG7, MH-2024-30R9","2024-12-28T17:23:28.740032","Number of participants, Engagement levels","Partners"
"Learn professional term research example list receive.","Upgradable holistic middleware","Product Launch","","","Tucker-Navarro","Result war soon lawyer drive state garden friend that better miss indeed significant remain class.","2025-01-14T17:23:28.740540","","","ACT-1734434608-ZWTH24","False","Hill, Curry and Sheppard, Skinner PLC, Fisher-Casey","Virtual (Online)","167","","RL-2024-A8DL, BT-2024-9QYG","2025-01-12T17:23:28.740540","Number of participants, Engagement levels","Youth"
"Way prevent strong Democrat those happy but fund no despite control too able.","Integrated transitional collaboration","Recruitment","SH-2024-99BT, AH-2024-4ZZH, BM-2024-EZ00, AC-2024-GNFA, CM-2024-BXWZ, JC-2024-42NF, AB-2024-U1Q9, PG-2024-DPN6, MG-2024-QAX8","$6108","Miller, Fisher and Rodriguez","Beat claim be center dream response soldier reduce common easy.","2024-12-26T17:23:28.741289","","Annually","ACT-1734434608-QKQFYQ","True","Johnson Group, Peterson, Gardner and Cook, Patel-Morales","Virtual (Online)","194","Training materials, Equipment, Refreshments","MP-2024-EW6W, AC-2024-GNFA, CM-2024-BXWZ, CC-2024-1K06, MG-2024-QAX8, SB-2024-0X44, PG-2024-DPN6, DB-2024-DM37, JC-2024-42NF, AB-2024-U1Q9, AH-2024-4ZZH, SH-2024-99BT, LG-2024-A4WS, DB-2024-7PI0, GH-2024-CL8S, BM-2024-EZ00","2024-12-25T17:23:28.741289","Number of participants, Engagement levels","Volunteers"
"Small bar product question moment PM market.","Reactive 4thgeneration service-desk","Employee Engagement","TN-2024-YCSC","$58703","Ferrell Group","Different agent institution physical forget hour several head appear west out film.","2025-01-08T17:23:28.742045","Survey","Weekly","ACT-1734434608-24IECW","True","Diaz, Sexton and Owens, Hernandez-Howard","009 Kennedy Corner Apt. 684, Rebeccaville, VI 25622","85","Training materials, Equipment, Refreshments","RY-2024-Q7S0, TN-2024-YCSC","2025-01-07T17:23:28.742045","Number of participants, Engagement levels","Public"
"Popular argue after without this live kid order join meet compare network.","Persistent eco-centric Internet solution","Recruitment","WB-2024-V5YP, TH-2024-2YID, JR-2024-XN5C, AF-2024-VKOM, VA-2024-W2RQ, KB-2024-H1ZQ","","Hawkins Inc","According dog church son people then top election instead read senior subject land view should professional.","2025-01-03T17:23:28.742989","Feedback Form","","ACT-1734434608-R5UDNL","False","","0346 Roger Spur Suite 476, Davidhaven, NM 19351","344","Training materials, Equipment, Refreshments","TH-2024-2YID, CB-2024-I39A, JF-2024-QH29, KB-2024-H1ZQ, CD-2024-X8ER, DS-2024-HYG3, AF-2024-VKOM, VN-2024-DTII, WB-2024-V5YP, JR-2024-XN5C, VA-2024-W2RQ","2025-01-01T17:23:28.742989","Number of participants, Engagement levels","Customers"
"Clear second yeah Congress data yet every need physical send.","Re-engineered local open system","Product Launch","JW-2024-FBW7, JM-2024-NTUY, NG-2024-7Q1E, MB-2024-7XMZ, ST-2024-OT6G, VH-2024-65IC, MS-2024-4ASJ, DZ-2024-A7KB","$38552","Sawyer, Roman and Barrett","Effect daughter director policy brother article skin will project station hour story a.","2024-12-26T17:23:28.744211","Feedback Form","Ad Hoc","ACT-1734434608-ESLJVS","True","Contreras, Mendez and Marks, Jackson PLC","Virtual (Online)","457","Training materials, Equipment, Refreshments","NG-2024-7Q1E, JW-2024-FBW7, ST-2024-GO2P, ST-2024-OT6G, MG-2024-QAX8, CB-2024-Y6F9, VB-2024-12GK, RY-2024-Q7S0, JM-2024-NTUY, AS-2024-YGBQ, ML-2024-SVVG, DZ-2024-A7KB, LP-2024-U82X, VH-2024-65IC, VB-2024-HIM0, MS-2024-4ASJ, CN-2024-KRXJ, MB-2024-7XMZ","2024-12-23T17:23:28.744211","Number of participants, Engagement levels","Youth"
"Unit information professor who blood second tonight read activity member air.","Compatible global conglomeration","Networking","JH-2024-XDRC","","Hunt and Sons","Body use that industry individual baby receive herself argue time wish company lay.","2024-12-22T17:23:28.745100","Survey","","ACT-1734434608-CQ1LA5","False","Bennett-Diaz, Ramirez-Moore, Brown, Wilson and Sanders","Virtual (Online)","35","Training materials, Equipment, Refreshments","JH-2024-XDRC, JL-2024-TIJI","2024-12-18T17:23:28.745100","Number of participants, Engagement levels","Students"
"When wear best find share they involve system find put show financial.","Grass-roots coherent support","Recruitment","VC-2024-XEBK, JF-2024-ZOSM, AC-2024-ECLV, KG-2024-65A7","$58242","Cordova Group","Identify center message available stop better let despite which send reality husband right writer.","2024-12-20T17:23:28.745940","Feedback Form","","ACT-1734434608-8F1O9Z","False","","648 Meredith Circles Suite 939, Port Jacob, NY 23118","204","","AH-2024-BT3Q, AF-2024-VKOM, VC-2024-XEBK, AC-2024-ECLV, MR-2024-0JKL, SM-2024-DAEF, KG-2024-65A7, JF-2024-ZOSM, JL-2024-TIJI, JN-2024-VI0Z, CB-2024-JJYL","2024-12-18T17:23:28.745940","Number of participants, Engagement levels","Volunteers"
